person_id,name,department,birthday,deathday,gender,birth_place
204,Kate Winslet,Acting,1975/10/05,,1,"Reading, Berkshire, England, UK"
3291,Hugh Grant,Acting,1960/09/09,,2,"London, England, UK"
10726,James Fleet,Acting,1952/03/11,,2,"Bilston, Staffordshire, England, UK"
3129,Tim Roth,Acting,1961/05/14,,2,"London, England, UK"
3130,Jennifer Beals,Acting,1963/12/19,,1,Chicago - Illinois - USA
3131,Antonio Banderas,Acting,1960/08/10,,2,"Málaga, Andalucía, Spain"
3124,Valeria Golino,Acting,1965/10/22,,1,"Naples, Campania, Italy"
2555,David Proval,Acting,1942/05/20,,2,"Brooklyn, New York, U.S."
206,Jim Carrey,Acting,1962/01/17,,2,"Newmarket, Ontario, Canada"
3547,Ian McNeice,Acting,1950/10/02,,2,"Basingstoke, Hampshire, England, UK"
4001,Simon Callow,Acting,1949/06/13,,2,"Streatham, London, England, UK"
4029,Bob Gunton,Acting,1945/11/15,,2,"Santa Monica, California, USA"
57096,Maynard Eziashi,Acting,,,2,"London, England, UK"
10814,Wesley Snipes,Acting,1962/07/31,,2,"Orlando, Florida, USA"
57755,Woody Harrelson,Acting,1961/07/23,,2,"Midland, Texas, USA"
16866,Jennifer Lopez,Acting,1969/07/24,,1,"The Bronx, New York City, New York, USA"
9287,Robert Blake,Acting,1933/09/18,,2,"Nutley, New Jersey, USA"
2955,Chris Cooper,Acting,1951/07/09,,2,"Kansas City, Missouri, USA"
8891,John Travolta,Acting,1954/02/18,,2,"Englewood, New Jersey, USA"
193,Gene Hackman,Acting,1930/01/30,,2,"San Bernardino, California, USA"
14343,Rene Russo,Acting,1954/02/17,,1,"Burbank, California, USA"
518,Danny DeVito,Acting,1944/11/17,,2,"Asbury Park, New Jersey, USA"
1117,Dennis Farina,Acting,1944/02/29,,2,"Chicago, Illinois, USA"
10205,Sigourney Weaver,Acting,1949/10/08,,1,"Manhattan, New York City, New York, USA"
18686,Holly Hunter,Acting,1958/03/20,,1,"Conyers, Georgia, USA"
883,Will Patton,Acting,1954/06/14,,2,"Charleston, South Carolina, USA"
18687,William McNamara,Acting,1965/03/31,,2,"Dallas, Texas, USA"
18688,Harry Connick Jr.,Acting,1967/09/11,,2,"New Orleans, Louisiana, USA"
16483,Sylvester Stallone,Acting,1946/07/06,,2,"New York City, New York, USA"
1231,Julianne Moore,Acting,1960/12/03,,1,"Fayetteville, North Carolina, USA"
58556,Anatoli Davydov,Acting,,,0,
17348,Muse Watson,Acting,1948/07/20,,2,"Alexandria, Louisiana, USA"
2453,Mary Steenburgen,Acting,1953/02/08,,1,"Newport, Arkansas, USA"
54789,Sean Patrick Flanery,Acting,1965/10/11,,2,"Lake Charles, Louisiana, USA"
2714,Lance Henriksen,Acting,1940/05/05,,2,"New York City, New York, USA"
4785,Jeff Goldblum,Acting,1952/10/22,,2,"Pittsburgh, Pennsylvania, USA"
36637,Brandon Smith,Acting,1952/08/13,,2,
2963,Nicolas Cage,Acting,1964/01/07,,2,"Long Beach, California, USA"
1951,Elisabeth Shue,Acting,1963/10/06,,1,"Wilmington, Delaware, USA"
6104,Julian Sands,Acting,1958/01/04,,2,"Otley, Yorkshire, England, UK"
6105,Richard Lewis,Acting,1947/06/29,,2,Brooklyn - New York - USA
6106,Steven Weber,Acting,1961/03/04,,2,"Briarwood, Queens, New York, USA"
2975,Laurence Fishburne,Acting,1961/07/30,,2,"Augusta, Georgia, USA"
1350,Irène Jacob,Acting,1966/07/15,,1,"Suresnes, France"
11181,Kenneth Branagh,Directing,1960/12/10,,2,"Belfast, Northern Ireland, UK"
27631,Nathaniel Parker,Acting,1962/05/18,,2,"London, England, UK"
17483,Michael Maloney,Acting,1957/06/19,,2,
6886,Christina Ricci,Acting,1980/02/12,,1,"Santa Monica, California, USA"
2155,Thora Birch,Acting,1982/03/11,,1,"Los Angeles, California, USA"
12930,Gaby Hoffmann,Acting,1982/01/08,,1,"New York, City, New York, USA"
12929,Rosie O'Donnell,Acting,1962/03/21,,1,"Commack, Long Island, New York, USA"
29369,Melanie Griffith,Acting,1957/08/09,,1,"Manhattan, New York City, New York, USA"
30318,Amanda Root,Acting,1963/01/01,,1,"Chelmsford, Essex, England"
8785,Ciarán Hinds,Acting,1953/02/09,,2,"Belfast, Northern Ireland, UK"
87415,Susan Fleetwood,Acting,1944/09/21,,1,
10981,Fiona Shaw,Acting,1958/07/10,,1,"County Cork, Ireland"
14465,John Woodvine,Acting,1929/07/21,,2," Tyne Dock, South Shields, County Durham, England"
2372,Ron Perlman,Acting,1950/04/13,,2,"New York City, New York, USA"
2413,Dominique Pinon,Acting,1955/03/04,,2,"Saumur, Maine-et-Loire, France"
13842,Judith Vittet,Acting,1984/12/01,,0,"Paris, France"
13843,Daniel Emilfork,Acting,1924/04/07,,2,"Providencia, Santiago, Metropolitan Region, Chile"
13687,Jean-Claude Dreyfus,Acting,1946/02/18,,2,"Paris, France"
643,Gong Li,Acting,1965/12/31,,1,"Shenyang, Liaoning Province, China"
146097,Li Baotian,Acting,1946/11/28,,2,Xuzhou，Jiangsu Province，China
150152,Sun Chun,Acting,1956/07/04,,2,"Jinan, Shandong, China"
150151,Wang Xiaoxiao,Acting,,,0,
143358,Li Xuejian,Acting,1954/07/07,,2,"Heze, Shandong, China"
1160,Michelle Pfeiffer,Acting,1958/04/29,,1,"Santa Ana, California, USA"
10477,George Dzundza,Acting,1945/07/19,,2,"Rosenheim, Germany"
24047,Courtney B. Vance,Acting,1960/03/12,,2,"Detroit, Michigan, USA"
11902,Robin Bartlett,Acting,1951/04/22,,1,"New York City, New York, U.S."
12642,John Neville,Acting,1925/05/02,,2,"Willesden, London, England, UK"
